Год_месяц;Клиент;Подкатегория;СЕГМЕНТ;Формат ТТ;Способ обработки;Наименование Товара в Сети;Производитель;Бренд;Тип упаковки;Масса;Наполнитель;Сквозное Имя;Продажи в кг;Продажи в руб;Offtake в кг
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;КОЛБАСНЫЙ;Супермаркет;КОПЧЕНЫЙ;MDD/СЫР КОЛБАС ПЛ КОПЧ НАР 125;PL АШАН;PL;СЛАЙСЕР;0.125;-;СЫР ПЛАВЛЕНЫЙ КОЛБАСНЫЙ ЛАКОМО\PL 0,125 кг 40% СЛАЙСЕР;12.75;6351.88;0.708333333
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;КОЛБАСНЫЙ;Супермаркет;КОПЧЕНЫЙ;MDD/СЫР ПЛ КОЛБАСН ЛАКОМО 400Г;PL АШАН;PL;ФИКСИРОВАННЫЙ;0.4;-;СЫР ПЛАВЛЕНЫЙ КОЛБАСНЫЙ ЛАКОМО\PL 0,4 кг 40% ФИКСИРОВАННЫЙ;3466;742644.48;25.11594203
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;КОЛБАСНЫЙ;Супермаркет;КОПЧЕНЫЙ;КД/ПЛАВЛ ПР КОЛБАСН 400Г;PL АШАН;PL;ФИКСИРОВАННЫЙ;0.4;-;СЫР ПЛАВЛЕНЫЙ КОЛБАСНЫЙ КАЖДЫЙ ДЕНЬ\PL 0,4 кг 40% ФИКСИРОВАННЫЙ;3118;259111.27;21.95774648
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;КОЛБАСНЫЙ;Супермаркет;КОПЧЕНЫЙ;ПР ПЛАВЛ КОЛБКОП ГОРОД СЫРА;НЕВА МИЛК ГК;ГОРОД СЫРА;ВЕСОВОЙ;1;-;СЫР ПЛАВЛЕНЫЙ КОЛБАСНЫЙ ГОРОД СЫРА 1 кг 40% ВЕСОВОЙ;2462.806;304917.57;15.99224675
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;КОЛБАСНЫЙ;Супермаркет;КОПЧЕНЫЙ;СЫР КОЛБ-КОП ГОР СЫРА ГРИБ 150;НЕВА МИЛК ГК;ГОРОД СЫРА;СЛАЙСЕР;0.15;грибы;СЫР ПЛАВЛЕНЫЙ КОЛБАСНЫЙ ГОРОД СЫРА 0,15 кг 40% СЛАЙСЕР грибы;13.2;4140.61;0.88
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;КОЛБАСНЫЙ;Супермаркет;КОПЧЕНЫЙ;СЫР КОЛБ-КОП ГОРОДСЫРА НАР150Г;НЕВА МИЛК ГК;ГОРОД СЫРА;СЛАЙСЕР;0.15;-;СЫР ПЛАВЛЕНЫЙ КОЛБАСНЫЙ ГОРОД СЫРА 0,15 кг 40% СЛАЙСЕР;646.35;335492.33;3.989814815
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;КОЛБАСНЫЙ;Супермаркет;КОПЧЕНЫЙ;СЫР ПЛ КОЛБАС КОПЧ 400 Г;СЫРОБОГАТОВ ТД ООО;СЫРОБОГАТОВ;ФИКСИРОВАННЫЙ;0.4;-;СЫР ПЛАВЛЕНЫЙ КОЛБАСНЫЙ СЫРОБОГАТОВ 0,4 кг 40% ФИКСИРОВАННЫЙ;215.2;78776.23;9.356521739
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Супермаркет;-;ДРУЖБА СЫР ПР ФОЛЬГА 70Г;КРАСНОБАКОВСКИЕ МОЛОЧНЫЕ ПРОДУКТЫ;БЕСТСЕЛЛЕР;ЛОМТЕВОЙ;0.07;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ БЕСТСЕЛЛЕР 0,07 кг 50% ЛОМТЕВОЙ дружба;1648.29;192872.2;11.69
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Супермаркет;-;КП/СЫР ПЛАВЛ.ДРУЖБА 90Г;PL АШАН;PL;ЛОМТЕВОЙ;0.09;дружба;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ КРАСНАЯ ПТИЦА\PL 0,09 кг ЛОМТЕВОЙ дружба;1322.46;275391.23;22.80103448
YTD FEB'19;Атак;СЫР ПЛАВЛЕНЫЙ;ЛОМТЕВОЙ;Супермаркет;-;ПЛАВ СЫР СЛИВОЧН БЛОЧКИ 50Г;HOCHLAND GROUP;HOCHLAND;ЛОМТЕВОЙ;0.05;сливочный;СЫР ПЛАВЛЕНЫЙ ЛОМТЕВОЙ HOCHLAND 0,05 кг 35% ЛОМТЕВОЙ сливочный;315.75;152647.33;4.048076923
