PERIOD;BRAND OWNER;BRAND;PACKAGE;WEIGHT;FAT;FAT ID;SKU;IF FLAVOURED;ADDITIVES;TASTE;VOLUME SALES;VALUE SALES;PRICE PER UNIT;NUMERIC SELLING DISTRIBIUTION (AVG);WEIGHTED SELLING DISTRIBIUTION (AVG);Average Sales Per Shop Selling
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.2500/KG;2%;2;TEOS GRECHESKIY 2% 250G SF;PLAIN;WITHOUT ADDITION INGREDIENTS;NOT AVAILABLE;541,1314;2567,990122;4,745594;68,510158;90,988325;487,8899
MAT APR'19;DANONE GROUP;DANISSIMO;DUAL CUP;0.1050/KG;6,90%;7;DANISSIMO FANT.SH.SHAR.6.9% CS 105G DS;FLAVOURED;CHOCOLATE;CHOCOLATE;442,9908;4598,029804;10,379515;96,9266;99,436142;282,3379
MAT APR'19;SAVUSHKIN PRODUCT;APETI;TOPPER;0.1050/KG;5%;5;APETI 5% 105G TO PLOMBIR SHARIKI V SHOKO;FLAVOURED;CEREALS&CHOCOLATE;PLOMBIR FLAVOUR;375,5727;3483,458084;9,275057;94,254825;98,231908;246,105
MAT APR'19;SAVUSHKIN PRODUCT;OPTIMAL;CUP;0.3500/KG;2%;2;OPTIMAL 2% FZ BIO 350G CHERNOS&ZLAKI;FLAVOURED;CEREALS & FRUITS;CEREALS&DRY PLUM;284,2252;1071,421275;3,769621;73,2753;91,499717;241,9273
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.2500/KG;2%;2;TEOS GRECHESKIY 2% ZN 250G ZLAK-KLET.LNA;FLAVOURED;CEREALS&FLAX FIBER;CEREALS&FLAX;276,3452;1498,840491;5,423798;48,079633;78,934217;337,6654
MAT APR'19;DANONE GROUP;ACTIVIA;GROUP;0.1500/KG;2,90%;3;ACTIVIA 2.9% F BIO 150G H CHERNOSLIV;FLAVOURED;FRUITS/BERRIES;PRUNE / DRY PLUM;271,0608;1452,248944;5,35765;93,657725;97,347033;180,2462
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.1400/KG;2%;2;TEOS GRECHESKIY 2% 140G SF;PLAIN;WITHOUT ADDITION INGREDIENTS;NOT AVAILABLE;270,377;1501,664352;5,553965;64,384558;88,024142;259,6948
MAT APR'19;DANONE GROUP;ACTIVIA;GROUP;0.1500/KG;2,90%;3;ACTIVIA 2.9% ZN BIO 150G H CHERN-5ZL-LEN;FLAVOURED;5 CEREALS&FRUITS/BERRIES&LINSEED;5 CEREALS&BILBERRY&LINSEED;267,3849;1433,64411;5,361724;92,739217;98,835833;179,6198
MAT APR'19;SAVUSHKIN PRODUCT;TEOS;CUP;0.1400/KG;2%;2;TEOS GRECHESKIY 2% ZN 140G ZLAK-KLET.LNA;FLAVOURED;CEREALS&FLAX FIBER;CEREALS&FLAX;247,5166;1539,424894;6,219481;71,8727;92,0098;211,9377
MAT APR'19;DANONE GROUP;ACTIVIA;GROUP;0.1500/KG;2,90%;3;ACTIVIA 2.9% F BIO 150G H VISHNYA;FLAVOURED;FRUITS/BERRIES;CHERRY;237,4453;1277,414805;5,379828;83,31565;95,216558;180,1195
